asset_key,company_name_seed,seed_confidence,inn_from_ot,drug_type_ot,ot_max_stage,raw_names,top_conditions,phases,statuses,n_trials,min_nct,max_nct,sample_titles,nct_ids,china_title_hits
INZ-701,,,INZ-701,Unknown,PHASE_3,INZ-701 | inz-701,ENPP1 deficiency | ABCC6 deficiency | pseudoxanthoma elasticum | end-stage kidney disease,"{""PHASE1/PHASE2"": 2, ""PHASE1"": 2, ""PHASE3"": 2, ""PHASE2"": 2}","{""COMPLETED"": 3, ""RECRUITING"": 3, ""ACTIVE_NOT_RECRUITING"": 1, ""WITHDRAWN"": 1}",8,NCT04686175,NCT07473973,"A Phase 1/2, Open-Label, Multiple Ascending Dose Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of INZ-701 Followed by an Open-Label Long-Term Extension Period in Adults With ENPP1 Deficiency || A Phase 1/2, Open-Label, Multiple Ascending Dose Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Phar",NCT04686175|NCT05030831|NCT05734196|NCT06046820|NCT06283589|NCT06462547,0
XC221,,,,,,XC221 | xc221,influenza | acute respiratory viral infections | COVID-19 | viral upper respiratory infection,"{""PHASE2"": 3, ""PHASE1"": 2, ""PHASE3"": 3}","{""COMPLETED"": 8}",8,NCT03455491,NCT05544916,"Multicenter Double-blinded Placebo-Controlled Parallel-Group Randomized Clinical Trial of Efficacy, Safety and Choice of an Optimum Dose of XC221 in the Treatment of Influenza and Other Acute Respiratory Viral Infections in Adults || A Double-blind, Randomized, Placebo-controlled Study of the Safety,Tolerability and Pharmacokinetics of Increasing D",NCT03455491|NCT03459391|NCT03830905|NCT04487574|NCT04940182|NCT05030324,0
ITF2357,,,GIVINOSTAT,Small molecule,APPROVAL,ITF2357 | itf2357,Hodgkin lymphoma | autoinflammatory syndromes | essential thrombocythemia | polycythemia vera | myelofibrosis | multiple myeloma,"{""PHASE2"": 4, ""PHASE1/PHASE2"": 3, ""PHASE1"": 1}","{""UNKNOWN"": 1, ""TERMINATED"": 4, ""COMPLETED"": 3}",8,NCT00442182,NCT06736223,The Effects and Side Effects of ITS2357 in Autoinflammatory Syndromes || Phase II Study of the Histone-deacetylase Inhibitor ITF2357 in Very High-risk Relapsed/Refractory Hodgkin's Lymphoma Patients || A Phase IIA Study of the Histone-deacetylase Inhibitor ITF2357 in Patients With JAK-2 V617F Positive Chronic Myeloproliferative Diseases,NCT00442182|NCT00496431|NCT00606307|NCT00792467|NCT00792506|NCT00792740,0
BB-12,,,BIFIDOBACTERIUM SPP.,Unknown,APPROVAL,bifidobacterium animalis subsp. lactis BB-12 | bifidobacterium animalis subsp. lactis strain bb-12 | Bifidobacterium animalis subsp. lactis BB-12 | bifidobacterium animalis subsp. lactis bb-12 | BB-12,diarrhea | antibiotic-associated diarrhea | autism spectrum disorder | schizophrenia | intracerebral haemorrhage | retinopathy of prematurity,"{""PHASE1"": 1, ""PHASE3"": 1, ""PHASE2"": 2, ""PHASE1/PHASE2"": 1, ""EARLY_PHASE1"": 2, ""PHASE4"": 1}","{""COMPLETED"": 7, ""RECRUITING"": 1}",8,NCT00848003,NCT07296718,Safety of BB-12 Supplemented Strawberry Yogurt For Healthy Adults on Antibiotics || Prevention of Irinotecan Induced Diarrhea by Probiotics: A Phase III Study || Efficacy and Safety of BB-12 Supplemented Strawberry Yogurt For Healthy Children on Antibiotics,NCT00848003|NCT02819960|NCT03181516|NCT03514784|NCT03755765|NCT04226898,0
IODINE-125,,,IODINE,Small molecule,APPROVAL,iodine-125 | iodine-125 seed brachytherapy | iodine 125 | iodine-125 radioactive seed,hepatocellular carcinoma | rectum cancer | malignant airway obstruction | pancreatic carcinoma | papillary thyroid carcinoma | thyroid carcinoma,"{""PHASE2"": 3, ""PHASE3"": 2, ""NA"": 3}","{""COMPLETED"": 3, ""UNKNOWN"": 1, ""RECRUITING"": 2, ""NOT_YET_RECRUITING"": 2}",8,NCT02423226,NCT07277777,Phase II Study of Computed Tomography-guided Brachytherapy Plus Chemotherapy for Locally Recurrent Rectum Cancer || A Novel Tracheal Radioactive Stent Loaded With 125I Seeds for the Malignant Airway Obstruction Versus a Conventional Stent: A Prospective Randomized Controlled Trial || Lenvatinib Plus Iodine-125 Seed Brachytherapy Compared With Lenva,NCT02423226|NCT02565927|NCT05608213|NCT05869474|NCT06367010|NCT06991907,0
AE105,,,,,,68Ga-NOTA-AE105 | NOTA-AE105 | 64Cu-DOTA-AE105,prostate cancer | cancer | regional lymph node metastases | urinary bladder cancer | glioma | glioblastoma multiforme,"{""PHASE1"": 1, ""PHASE2"": 7}","{""COMPLETED"": 3, ""UNKNOWN"": 3, ""TERMINATED"": 1, ""RECRUITING"": 1}",8,NCT02437539,NCT06474806,"68Ga-NOTA-AE105. Evaluation of a New Radiotracer Targeting uPAR (Urokinase Plasminogen Activator Receptor), for Positron Emission Tomography Imaging of the Invasive Cancer Phenotype. First in Human || Phase II Trial: uPAR PET/CT and FDG PET/MRI for Preoperative Staging of Bladder Cancer || uPAR-PET/MRI in Glioblastoma Multiforme",NCT02437539|NCT02805608|NCT02945826|NCT02964988|NCT02965001|NCT03278275,0
KRN23,,,BUROSUMAB,Antibody,APPROVAL,krn23 | KRN23,X-linked hypophosphatemia | X-linked hypophosphatemic rickets/osteomalacia | tumor-induced osteomalacia | x-linked hypophosphatemia | epidermal nevus syndrome | x-linked hypophosphatemic rickets/osteomalacia,"{""PHASE1"": 2, ""PHASE1/PHASE2"": 2, ""PHASE2"": 1, ""PHASE4"": 3}","{""COMPLETED"": 8}",8,NCT00830674,NCT05357573,"A Phase I, Double-blind, Randomized, Placebo-controlled, Single-dose, Dose-escalation Study of KRN23 in X-linked Hypophosphatemia || A Phase I/II, Open-Label, Repeat-Dose, Dose-Escalation Study of KRN23 in Adult Subjects With X-Linked Hypophosphatemia || An Open-Label, Long-Term, Extension Study to Evaluate the Safety and Efficacy of KRN23 in Adult",NCT00830674|NCT01340482|NCT01571596|NCT02181764|NCT02722798|NCT04842019,3
AMX0035,,,SODIUM PHENYLBUTYRATE,Small molecule,APPROVAL,AMX0035,amyotrophic lateral sclerosis | mild cognitive impairment | dementia | wolfram syndrome | progressive supranuclear palsy,"{""PHASE2"": 2, ""PHASE2/PHASE3"": 2, ""PHASE1/PHASE2"": 1, ""PHASE3"": 2, ""NA"": 1}","{""COMPLETED"": 4, ""UNKNOWN"": 1, ""ACTIVE_NOT_RECRUITING"": 2, ""APPROVED_FOR_MARKETING"": 1}",8,NCT03533257,NCT06122662,"Phase II Study to Assess the Safety, Tolerability, and Target Engagement of AMX0035, a Fixed Combination of Sodium Phenylbutyrate and Tauroursodeoxycholic Acid for the Treatment of Alzheimer's Disease || AMX0035 for Amyotrophic Lateral Sclerosis - Compassionate Use Protocol || A Pharmacokinetic and Pharmacodynamic Study of AMX0035 in Patients With ",NCT03533257|NCT04516096|NCT04987671|NCT05021536|NCT05286372|NCT05619783,0
IODINE-124,,,IODINE I124 EVUZAMITIDE,Protein,PHASE_2,iodine-124 | iodine-124 labeled chimeric G250 | iodine 124 | iodine-124-evuzamitide,thyroid cancer | differentiated thyroid cancer | renal cell carcinoma | clear cell renal cell carcinoma | breast cancer | thyroid carcinoma,"{""NA"": 1, ""PHASE3"": 1, ""EARLY_PHASE1"": 1, ""PHASE1"": 1, ""PHASE2"": 4}","{""WITHDRAWN"": 1, ""COMPLETED"": 2, ""TERMINATED"": 1, ""RECRUITING"": 3, ""UNKNOWN"": 1}",8,NCT00373711,NCT06961084,"Comparison of I-124 PET/CT, F-18 FDG PET/CT and I-123 Whole Body Scintigraphy for Recurrent Thyroid Cancer Detection || A Comparative Study of PET/CT Versus Diagnostic CT for the Detection of Clear Cell Renal Cell Carcinoma in Pre-surgical Patients With Renal Masses Using Iodine-124 Labeled Chimeric G250 (124I-cG250) || A Pilot Study to Determine R",NCT00373711|NCT00606632|NCT00725946|NCT03647358|NCT03841617|NCT05299437,0
KPS-0373,,,ROVATIRELIN,Small molecule,PHASE_3,KPS-0373 | kps-0373,sickle cell disease | spinocerebellar degeneration,"{""PHASE2"": 3, ""PHASE3"": 5}","{""COMPLETED"": 7, ""RECRUITING"": 1}",8,NCT00863538,NCT07040137,"An Open-label, Phase II Study of KPS-0373 in Patients With SCD || A Double-blind, Placebo-controlled, Crossover Study, Followed by Open-label Study of KPS-0373 in Patients With SCD || A Randomized, Double Blind, Placebo-controlled Phase II Study of KPS-0373 in Patients With SCD",NCT00863538|NCT01004016|NCT01384435|NCT01970098|NCT01970111|NCT01970124,0
XT-150,,,INTERLEUKIN-10,Unknown,PHASE_2,XT-150,osteoarthritic pain | facet joint osteoarthritis | osteoarthritis | osteoarthritis of the knee | neuropathic pain | amyotrophic lateral sclerosis,"{""PHASE1"": 5, ""PHASE2"": 2, ""PHASE1/PHASE2"": 1}","{""COMPLETED"": 5, ""TERMINATED"": 1, ""WITHDRAWN"": 1, ""NOT_YET_RECRUITING"": 1}",8,NCT03282149,NCT06704347,"A Placebo-controlled, Preliminary Evaluation of Safety, Tolerability, and Efficacy of Ascending Doses of XT-150 for the Treatment of Osteoarthritic Pain || Preliminary Evaluation of Safety, Tolerability, and Efficacy of XT-150 for the Treatment of Osteoarthritic Pain || XT-150-1-0201 Extension: Evaluation of Safety, Tolerability, and Efficacy of XT",NCT03282149|NCT03477487|NCT03769662|NCT04124042|NCT04466410|NCT04841512,0
SH-1028,,,ORITINIB,Small molecule,PHASE_3,SH-1028 | sh-1028,non-small cell lung cancer | solid cancer,"{""PHASE1"": 5, ""PHASE2"": 1, ""PHASE3"": 2}","{""UNKNOWN"": 6, ""COMPLETED"": 1, ""RECRUITING"": 1}",8,NCT03603262,NCT06080776,"A Phase I, Open-label Study to Assess the Safety, Tolerability and Pharmacokinetics of Ascending Doses of SH-1028 Tablets in Patients With Advanced Non-small Cell Lung Cancer || A Phase I, Open-label Study to Assess the Safety and Tolerability of Ascending Doses of SH-1028 Tablets in Patients With Advanced Solid Cancer || A Multicenter, Open-label,",NCT03603262|NCT03618043|NCT03823807|NCT03973632|NCT04239833|NCT04808648,1
KLH-2109,,,LINZAGOLIX,Small molecule,PHASE_3,KLH-2109 | klh-2109,uterine fibroids | endometriosis | menorrhagia | pain,"{""PHASE2"": 4, ""PHASE3"": 4}","{""COMPLETED"": 6, ""ACTIVE_NOT_RECRUITING"": 1, ""RECRUITING"": 1}",8,NCT01395940,NCT07378098,"A Multicenter, Randomized, Open Label Phase II Study of KLH-2109 in Patients With Endometriosis(1) || A Multicenter, Randomized, Placebo-controlled, Double-blind Phase II Study of KLH-2109 in Patients With Endometriosis(2) || A Multicenter, Randomized, Open Label Phase II Study of KLH-2109 in Patients With Endometriosis(3)",NCT01395940|NCT01533532|NCT01629420|NCT02778919|NCT05440383|NCT05445167,0
BBV152,,,BBV-152 ANTIGEN ADJUVATED WITH ALGEL-IMDG,Unknown,APPROVAL,BBV152 | bbv152,COVID-19 | breakthrough infections of COVID-19 | severe COVID-19 | COVID-19 infection | SARS-CoV-2 infection,"{""PHASE1/PHASE2"": 1, ""PHASE3"": 2, ""PHASE2/PHASE3"": 2, ""PHASE4"": 1, ""NA"": 1, ""PHASE2"": 1}","{""COMPLETED"": 5, ""UNKNOWN"": 2, ""NO_LONGER_AVAILABLE"": 1}",8,NCT04471519,NCT05639998,"An Adaptive Phase 1, Followed by Phase 2 Randomized, Double-blind, Multicenter Study to Evaluate the Safety, Reactogenicity, Tolerability, and Immunogenicity of BBV152 in Healthy Volunteers || An Event-Driven, Phase 3, Randomized, Double-blind, Placebo-controlled, Multicenter Study to Evaluate Efficacy, Safety, Immunogenicity, Lot-to-Lot Consistenc",NCT04471519|NCT04641481|NCT04918797|NCT05142319|NCT05258669|NCT05541289,0
MAX-40279,,,NEFEXTINIB,Small molecule,PHASE_2,MAX-40279 | MAX-40279-01 | Max-40279-01 | max-40279-01 | max-40279,acute myelogenous leukemia | solid tumor | myelodysplastic syndrome | acute myeloid leukemia | colorectal cancer | gastroesophageal junction cancer,"{""PHASE1"": 4, ""PHASE1/PHASE2"": 2, ""PHASE2"": 2}","{""UNKNOWN"": 8}",8,NCT03412292,NCT05425602,"A Phase I Trial of MAX-40279 Given Orally to Subjects With Acute Myelogenous Leukemia (AML) || A Phase Ⅰ Study for Safety, Tolerance, Pharmacokinetic Characteristic of MAX-40279-01 in Patients With Advanced Solid Tumors || A Phase I Study for Tolerance and Pharmacokinetic Characteristic of MAX-40279 in Patients With Relapsed or Refractory Acute Mye",NCT03412292|NCT04183764|NCT04187495|NCT05061147|NCT05130021|NCT05369286,0
LP-003,,,,,,LP-003 | lp-003,seasonal allergic rhinitis | chronic spontaneous urticaria | rhinosinusitis with nasal polyps | allergic asthma,"{""PHASE2"": 4, ""PHASE1"": 2, ""PHASE1/PHASE2"": 1, ""PHASE3"": 1}","{""COMPLETED"": 3, ""ACTIVE_NOT_RECRUITING"": 3, ""NOT_YET_RECRUITING"": 1, ""RECRUITING"": 1}",8,NCT06046391,NCT07342803,"A 12 Weeks,Multi-center,Randomized,Double-blind,Placebo-controlled Phase II Study to Evaluate the Efficacy and Safety of LP-003 in Adult Patients With Inadequately Controlled Moderate to Severe Seasonal Allergic Rhinitis Despite the Current Recommended Therapies || Multi-center,Randomized,Double-blind Phase II Study to Evaluate the Efficacy and Saf",NCT06046391|NCT06228560|NCT06294288|NCT06604949|NCT07148557|NCT07291284,0
TY-9591,,,,,,TY-9591 | ty-9591,non-small cell lung cancer | brain metastases | epidermal growth factor receptor positive mutation | leptomeningeal metastases | non small cell lung cancer,"{""PHASE1"": 4, ""PHASE2"": 3, ""PHASE3"": 1}","{""COMPLETED"": 5, ""RECRUITING"": 2, ""NOT_YET_RECRUITING"": 1}",8,NCT04204473,NCT06672068,"Phase I, Open-label, Single-arm Study to Evaluate the Safety, Tolerance, Pharmacokinetics and Preliminary Efficacy of TY-9591 Tablets in Advanced NSCLC Patients With Epidermal Growth Factor Receptor( EGFR) Positive Mutation || Studies to Compare the Pharmacokinetics of TY-9591 Tablets and Osimertinib Mesylate Tablets After a Single Fasting Administ",NCT04204473|NCT04798638|NCT05146219|NCT05382728|NCT05871905|NCT05948813,1
BMX-001,,,BMX-001,Small molecule,PHASE_2,bmx-001 | BMX-001,head and neck cancer | high grade glioma | anal squamous cell carcinoma | brain metastases | rectal adenocarcinoma | oral mucositis,"{""PHASE1/PHASE2"": 5, ""PHASE2"": 3}","{""COMPLETED"": 2, ""ACTIVE_NOT_RECRUITING"": 1, ""TERMINATED"": 1, ""WITHDRAWN"": 1, ""RECRUITING"": 2, ""NOT_YET_RECRUITING"": 1}",8,NCT02655601,NCT06620029,"A Phase 2 Trial for Patients With Newly Diagnosed High Grade Glioma Treated With Concurrent Radiation Therapy, Temozolomide, and BMX-001 || A Phase 1 / Phase 2 Trial of Concurrent Radiation Therapy, Cisplatin, and BMX-001 in Locally Advanced Head and Neck Cancer || A Phase 1/2 Trial for Patients With Newly Diagnosed Anal Cancer Treated With Concurr",NCT02655601|NCT02990468|NCT03386500|NCT03608020|NCT04607642|NCT05254327,0
PLB1004,,,,,,plb1004 | PLB1004,non-small cell lung cancer,"{""PHASE1"": 2, ""PHASE3"": 2, ""PHASE1/PHASE2"": 3, ""PHASE2"": 1}","{""UNKNOWN"": 1, ""RECRUITING"": 3, ""ENROLLING_BY_INVITATION"": 1, ""NOT_YET_RECRUITING"": 3}",8,NCT05347628,NCT07285148,"A Phase I, Open-label, Multicenter, Dose Escalation and Dose Expansion Study to Assess the Safety, Tolerability, Pharmacokinetics and Anti-tumor Efficacy of PLB1004 in Patients With Advanced Non-Small Cell Lung Cancer (NSCLC) || A Phase I Open-label, Multi-dose, Dose Escalation and Dose Expansion Study of the Oral EGFR Inhibitor PLB1004 in Non-Smal",NCT05347628|NCT06046495|NCT06281964|NCT06343064|NCT06574347|NCT06970782,0
HH-120,,,,,,HH-120,COVID-19 | SARS-CoV-2 infection | coronavirus disease 2019 | infection with SARS-CoV-2,"{""PHASE1"": 3, ""NA"": 3, ""PHASE2"": 1, ""PHASE3"": 1}","{""COMPLETED"": 7, ""ENROLLING_BY_INVITATION"": 1}",8,NCT05116865,NCT06039163,"A Double-Blinded, Randomized, and Placebo-Controlled Phase 1 Study to Assess the Safety, Tolerability and Pharmacokinetics Profile of Single and Multiple Ascending Doses of Inhaled HH-120 Aerosol in Healthy Volunteers || A Clinical Study to Assess Preliminary Efficacy, Safety and Tolerability of HH-120 Nasal Spray in Participants Diagnosed With Asy",NCT05116865|NCT05659602|NCT05713318|NCT05747677|NCT05753878|NCT05765279,0
NIS793,,,NISEVOKITUG,Antibody,PHASE_3,nis793 | NIS793,colorectal cancer | myelofibrosis | renal cell carcinoma | non-small cell lung cancer | myelodysplastic syndrome | pancreatic ductal adenocarcinoma,"{""PHASE1"": 4, ""PHASE1/PHASE2"": 1, ""PHASE3"": 1, ""PHASE2"": 2}","{""COMPLETED"": 2, ""TERMINATED"": 5, ""WITHDRAWN"": 1}",8,NCT02947165,NCT05546411,"A Phase I/Ib, Open-label, Multi-center Dose Escalation Study of NIS793 in Combination With PDR001 in Adult Patients With Advanced Malignancies || A Randomized, Open-label, Phase I/II Open Platform Study Evaluating Safety and Efficacy of Novel Ruxolitinib Combinations in Myelofibrosis Patients || A Phase Ib, Multicenter, Open-label Dose Escalation a",NCT02947165|NCT04097821|NCT04283526|NCT04810611|NCT04935359|NCT04952753,0
VLA15,,,,,,VLA15,Lyme borreliosis | Lyme disease,"{""PHASE1"": 1, ""PHASE2"": 3, ""PHASE3"": 4}","{""COMPLETED"": 6, ""ACTIVE_NOT_RECRUITING"": 1, ""RECRUITING"": 1}",8,NCT03010228,NCT07500506,"Study Assessing the Safety, Immunogenicity and Dose Response of VLA15, A New Multivalent Recombinant OspA Vaccine Candidate Against Lyme Borreliosis, In Healthy Adults Aged Below 40 Years || Immunogenicity and Safety Study of VLA15, A Multivalent Recombinant OspA (Outer Surface Protein A) Based Vaccine Candidate Against Lyme Borreliosis, in Healthy",NCT03010228|NCT03769194|NCT03970733|NCT04801420|NCT05477524|NCT05634811,0
ABP-671,,,,,,ABP-671 | abp-671,gout | hyperuricemia | hyperuricaemia | chronic kidney disease,"{""PHASE1"": 4, ""PHASE2"": 2, ""PHASE2/PHASE3"": 2}","{""COMPLETED"": 5, ""TERMINATED"": 1, ""NOT_YET_RECRUITING"": 1, ""RECRUITING"": 1}",8,NCT03906006,NCT07367971,"A Single-Center, Randomized, Double-Blind, Placebo-Controlled Phase I Study to Evaluate the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of Single Ascending Oral Doses of ABP-671 in Healthy Volunteers in the United States || A Randomized, Double-Blind, Placebo-Controlled Phase 1b Ascending Dose Study to Evaluate the Safety, Tolerabil",NCT03906006|NCT04060173|NCT04303039|NCT04638543|NCT05818085|NCT06276556,0
ADG106,,,ADG-106,Unknown,PHASE_1_2,ADG106 | adg106,solid tumors | non-Hodgkin lymphoma | solid tumor | non-small cell lung cancer | breast cancer | triple negative breast cancer,"{""PHASE1"": 3, ""PHASE1/PHASE2"": 5}","{""COMPLETED"": 4, ""TERMINATED"": 1, ""UNKNOWN"": 1, ""ACTIVE_NOT_RECRUITING"": 1, ""RECRUITING"": 1}",8,NCT03707093,NCT05491083,"A Study of CD137 Agonist ADG106 Administered Intravenously in Patients With Advanced or Metastatic Solid Tumors and/or Non-Hodgkin Lymphoma || A Phase Ⅰ Study of ADG106 Administered in Patients With Advanced or Metastatic Solid Tumors and/or Non-Hodgkin Lymphoma || A Phase 1b/2, Open-Label, Dose Escalation and Expansion Study of ADG116, ADG116 Comb",NCT03707093|NCT03802955|NCT04501276|NCT04645069|NCT04775680|NCT05236608,0
APL-1202,,,,,,APL-1202 | apl-1202,non-muscle invasive bladder cancer | non-muscle-invasive bladder cancer | muscle invasive bladder cancer,"{""PHASE1/PHASE2"": 2, ""PHASE3"": 2, ""PHASE2"": 1, ""PHASE1"": 3}","{""COMPLETED"": 3, ""UNKNOWN"": 4, ""TERMINATED"": 1}",8,NCT03672240,NCT06435039,"A Phase Ib Study of APL-1202 in NMIBC Patients Who Are Resistant to One Induction Course of BCG Treatment || A Multi-center, Randomized, Double-blind, Placebo-controlled Phase Ⅲ Clinical Trial to Evaluate the Clinical Safety and Efficacy of APL-1202 in Combination With Epirubicin Hydrochloride Versus Epirubicin Hydrochloride Alone in Intermediate a",NCT03672240|NCT04490993|NCT04498702|NCT04601766|NCT04736394|NCT04813107,0
FAPI-74,,,,,,FAPI-74 | 18F-FAPI-74 | AlF-FAPI-74,gastric cancer | pancreatic cancer | gastrointestinal cancer | colorectal cancer | hepatocellular carcinoma | cholangiocarcinoma,"{""NA"": 3, ""PHASE2"": 1, ""PHASE1"": 1, ""PHASE2/PHASE3"": 1, ""PHASE3"": 2}","{""RECRUITING"": 5, ""COMPLETED"": 1, ""NOT_YET_RECRUITING"": 1, ""ENROLLING_BY_INVITATION"": 1}",8,NCT05442151,NCT07217717,"Evaluation Using FAPI-PET Targeting Cancer-associated Fibroblasts || A Phase 2, Multicenter, Single Arm, Open Label, Non-Randomized Study of [18F]FAPI-74 PET in Patients With Gastrointestinal Cancers || PET/MRI Evaluation in Patients With Primary Sclerosing Cholangitis Using Intercellular Matrix Radiopharmaceuticals",NCT05442151|NCT05641896|NCT06252610|NCT06377553|NCT06413355|NCT07018661,0
TB006,,,,,,TB006,Alzheimer's disease | COVID-19 | ischemic stroke | autism spectrum disorder | Parkinson's disease,"{""PHASE1"": 2, ""PHASE1/PHASE2"": 1, ""PHASE2"": 4, ""NA"": 1}","{""WITHDRAWN"": 2, ""COMPLETED"": 2, ""TERMINATED"": 1, ""AVAILABLE"": 1, ""RECRUITING"": 1, ""ACTIVE_NOT_RECRUITING"": 1}",8,NCT04801056,NCT06773962,"A Phase I, First-In-Human, Randomized, Single Ascending Dose Study of TB006 in Outpatient Patients With Mild to Moderate COVID-19 || A Phase 1 Double-blind, Randomized, Single Dose, Sequential Dose-escalation Study to Assess the Safety, Tolerability and Pharmacokinetics of TB006 in Healthy Subjects || A Seamless Phase 1b/2a Double-blind, Randomized",NCT04801056|NCT04920786|NCT05074498|NCT05156827|NCT05476783|NCT05959239,0
SGM-101,,,,,,SGM-101,colorectal cancer | rectal cancer | pancreatic cancer | non-small cell lung carcinoma | colorectal lung metastases | colorectal brain metastases,"{""PHASE1/PHASE2"": 1, ""PHASE3"": 1, ""PHASE1"": 1, ""PHASE2/PHASE3"": 1, ""PHASE2"": 4}","{""COMPLETED"": 2, ""RECRUITING"": 3, ""UNKNOWN"": 3}",8,NCT02973672,NCT06280690,"A Phase I Study Assessing the Safety and Performance of SGM-101, a Fluorochrome-labeled Anti-carcino-embryonic Antigen Monoclonal Antibody for the Detection of Neoplastic Lesions in Patients With Colorectal Cancer or Pancreatic Cancer || Multicenter, Open-label, Randomized, Controlled, Parallel Arms Clinical Study on Performance of SGM-101, a Fluor",NCT02973672|NCT03659448|NCT04315467|NCT04642924|NCT04737213|NCT04755920,0
AGN-151586,,,TRENIBOTULINUMTOXINE,Protein,PHASE_3,AGN-151586,glabellar lines,"{""PHASE2"": 1, ""PHASE3"": 4, ""PHASE1"": 3}","{""COMPLETED"": 8}",8,NCT04096326,NCT06834789,"A Phase 2b Double-Blind, Placebo-Controlled, Dose-Ranging Study to Evaluate the Safety and Efficacy of AGN-151586 in Participants With Moderate to Severe Glabellar Lines || A Phase 3, Multicenter Study to Evaluate the Safety and Efficacy of AGN-151586 for the Treatment of Glabellar Lines || A Phase 3 Multicenter Study to Evaluate the Safety and Eff",NCT04096326|NCT05248867|NCT05248880|NCT05248893|NCT05496335|NCT06151561,0
ELX-02,,,ELX-02,Unknown,PHASE_2,elx-02 | ELX-02,cystic fibrosis | nephropathic cystinosis | Alport syndrome,"{""PHASE1"": 4, ""PHASE2"": 4}","{""TERMINATED"": 2, ""COMPLETED"": 6}",8,NCT02807961,NCT05448755,"Phase 1a, Randomized, Double-blinded, Placebo-controlled, Single-dose Escalation Study to Evaluate the Safety, Tolerability and Pharmacokinetics of ELX-02 in Healthy Adult Volunteers || A Phase 1a, Randomized, Double-blinded, Placebo-Controlled, Single Dose Escalation Study to Evaluate the Safety, Tolerability, and Pharmacokinetics of ELX-02 in Hea",NCT02807961|NCT03292302|NCT03309605|NCT03776539|NCT04069260|NCT04126473,0
KX-826,,,,,,KX-826 | kx-826,androgenetic alopecia | male pattern hair loss,"{""PHASE1"": 2, ""PHASE2"": 3, ""PHASE3"": 1, ""PHASE2/PHASE3"": 1}","{""COMPLETED"": 5, ""UNKNOWN"": 1, ""NOT_YET_RECRUITING"": 1}",7,NCT04502901,NCT06622824,"A Randomized, Double-Blind, Placebo-Controlled, Parallel Group, Dose Escalation Study in Healthy Male Subjects With Androgenetic Alopecia to Evaluate the Safety, Tolerability and PK of KX-826 Following Topical Multiple Dose Ascending || A Randomized, Double-Blind, Placebo-Controlled, Parallel Group, Dose Escalation Study in Healthy Male Subjects Wi",NCT04502901|NCT04984707|NCT05218642|NCT05940506|NCT06126965|NCT06409650,4
TTI-101,,,C-188-9,Small molecule,PHASE_2,tti-101 | TTI-101,head and neck squamous cell carcinoma | hepatocellular carcinoma | breast cancer | melanoma | colorectal cancer | ovarian cancer,"{""PHASE1"": 3, ""PHASE1/PHASE2"": 2, ""PHASE2"": 1, ""EARLY_PHASE1"": 1}","{""COMPLETED"": 2, ""TERMINATED"": 1, ""RECRUITING"": 1, ""WITHDRAWN"": 2, ""ACTIVE_NOT_RECRUITING"": 1}",7,NCT03195699,NCT06141031,"Phase I Study of TTI-101, an Oral Inhibitor of Signal Transducer and Activator of Transcription (STAT) 3, in Patients With Advanced Cancers || REVERT- Breast Cancer: Phase 1b/2 Study of the Addition of STAT3 Inhibitor TTI-101 to Reverse Resistance to Palbociclib or Ribociclib Plus Aromatase Inhibitor or Fulvestrant Therapy for Metastatic Hormone Re",NCT03195699|NCT05384119|NCT05440708|NCT05668949|NCT05671835|NCT05845307,0
S10,,,,,,oleogel-s10,epidermolysis bullosa | wound | burn wound | superficial wounds | wound healing | radiation dermatitis,"{""PHASE2"": 3, ""PHASE3"": 4}","{""COMPLETED"": 6, ""RECRUITING"": 1}",7,NCT01294241,NCT06917690,"Open, Prospective, Controlled Case Series Documentation to Compare Intra-individually the Efficacy and Tolerance of Sericare® Versus Non-adhesive Wound Dressing Alone in Accelerating the Epithelialization of Skin Lesions of Patients With Epidermolysis Bullosa Hereditaria || Open, Prospective, Controlled, Randomised, Multicenter Phase II Clinical Tr",NCT01294241|NCT01294254|NCT01657292|NCT01657305|NCT03068780|NCT05190770,0
AEF0117,,,,,,AEF0117,cannabis use disorder,"{""PHASE1"": 5, ""PHASE2"": 2}","{""COMPLETED"": 5, ""TERMINATED"": 1, ""WITHDRAWN"": 1}",7,NCT03325595,NCT06395688,"A Phase 1, Single Center, Double-blind, Placebo-controlled, Dose Escalating Study to Evaluate the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics Effects of Single Oral Doses of AEF0117 in Healthy Male and Female Subjects || A Phase 1, Single Center, Double-blind, Placebo-Controlled, Dose Escalating Study to Evaluate the Safety, Tolerab",NCT03325595|NCT03443895|NCT03717272|NCT05322941|NCT05451017|NCT05554926,0
